Study Num,title,replicate
140,Keeping one's distance: The influence of spatial distance cues on affect and evaluation.,0
142,Hedonic and instrumental motives in anger regulation.,1
143,"Creating social connection through inferential reproduction: Loneliness and perceived agency in gadgets, gods, and greyhounds.",0
145,_In_Group Love? and _Out_Group Hate? as Motives for Individual Participation in Intergroup Conflict: A New Game Paradigm,1
146,A word-order constraint on phonological activation,0
148,The Best Men Are (Not Always) Already Taken: Female Preference for Single Versus Attached Males Depends on Conception Risk,0
149,The Best Men Are (Not Always) Already Taken: Female Preference for Single Versus Attached Males Depends on Conception Risk,0
150,Sensitivity to object viewpoint and action instructions during search for targets in the lower visual field,0
151,With a clean conscience: Cleanliness reduces the severity of moral judgments.,0
153,Extremal edge: a powerful cue to depth perception and figure-ground organization,0
154,What Do Cross_National Comparisons of Personality Traits Tell Us? The Case of Conscientiousness,1
155,Personality dominance and preferential use of the vertical dimension of space,0
158,Conflict-triggered goal shielding: Response conflicts attenuate background monitoring for prospective memory cues.,1
161,Detecting the snake in the grass: attention to fear-relevant stimuli by adults and young children.,0
165,The value heuristic in judgments of relative frequency.,0
167,"Head up, foot down: Object words orient attention to the objects' typical location.",0
